33653ME010180300_2018_G914520001,33653ME010180300_2018_G914520001,a,Community Balance HSA Silver,12/01/2018,Not Specified
33653ME010180300_2018_G914590001,33653ME010180300_2018_G914590001,a,Community Balance HSA Silver,12/01/2018,Not Specified
33653ME010180300_2018_G914820001,33653ME010180300_2018_G914820001,a,Community Balance HSA Silver,12/01/2018,Not Specified
33653ME010180300_2018_G914860001,33653ME010180300_2018_G914860001,a,Community Balance HSA Silver,12/01/2018,Not Specified
33653ME010180300_2018_G914960001,33653ME010180300_2018_G914960001,a,Community Balance HSA Silver,12/01/2018,Not Specified
33653ME010180400_2018_G907680001,33653ME010180400_2018_G907680001,a,Community Core HSA Silver,12/01/2018,Not Specified
33653ME010180400_2018_G907860001,33653ME010180400_2018_G907860001,a,Community Core HSA Silver,12/01/2018,Not Specified
33653ME010180400_2018_G912730001,33653ME010180400_2018_G912730001,a,Community Core HSA Silver,12/01/2018,Not Specified
33653ME010180400_2018_G914490001,33653ME010180400_2018_G914490001,a,Community Core HSA Silver,12/01/2018,Not Specified
33653ME010180400_2018_G914890001,33653ME010180400_2018_G914890001,a,Community Core HSA Silver,12/01/2018,Not Specified
33653ME010180400_2018_G915060001,33653ME010180400_2018_G915060001,a,Community Core HSA Silver,12/01/2018,Not Specified
33653ME010180500_2018_G908370001,33653ME010180500_2018_G908370001,a,Community Option Silver,12/01/2018,Not Specified
33653ME010180500_2018_G909290001,33653ME010180500_2018_G909290001,a,Community Option Silver,12/01/2018,Not Specified
33653ME010180500_2018_G914780001,33653ME010180500_2018_G914780001,a,Community Option Silver,12/01/2018,Not Specified
33653ME010180500_2018_G919580001,33653ME010180500_2018_G919580001,a,Community Option Silver,12/01/2018,Not Specified
33653ME010180600_2018_G912720001,33653ME010180600_2018_G912720001,a,Community Relate HSA Bronze,12/01/2018,Not Specified
33653ME010180600_2018_G919390001,33653ME010180600_2018_G919390001,a,Community Relate HSA Bronze,12/01/2018,Not Specified
33653ME010180600_2018_G919400001,33653ME010180600_2018_G919400001,a,Community Relate HSA Bronze,12/01/2018,Not Specified
